sentence_id,word,tag
0,তার,O
0,মৃত্যুর,O
0,দশ,O
0,দিন,O
0,"পর,",O
0,১১৫,O
0,কৃষ্ণাঙ্গ,O
0,উচ্চ,O
0,বিদ্যালয়ের,O
0,শিক্ষার্থীরা,O
0,তার,O
0,হত্যার,O
0,প্রতিবাদে,O
0,ম্যাককম্ব,B-LOC
0,এর,O
0,মাধ্যমে,O
0,মিছিল,O
0,করেছে।,O
1,ব্রাংম্যান,O
1,ডাম্পসন,O
1,১৪০০,O
1,সালে,O
1,আন্তর্জাতিক,B-GRP
1,রেড,I-GRP
1,ক্রস,I-GRP
1,ও,I-GRP
1,রেড,I-GRP
1,ক্রিসেন্ট,I-GRP
1,আন্দোলন,I-GRP
1,এর,O
1,স্বেচ্ছাসেবক,O
1,হিসেবে,O
1,শুরু,O
1,করেছিলেন।,O
2,রাজকীয়,O
2,বাসস্থান,O
2,থেকে,O
2,রাজ্যের,O
2,মন্দির,O
2,পর্যন্ত,O
2,স্বল্প,O
2,দূরত্ব,O
2,ভ্রমণ,O
2,"করে,",O
2,রাজা,O
2,মিছিলে,O
2,অনেক,O
2,ধারক,O
2,নিয়ে,O
2,পালকি,B-PROD
2,বসবেন।,O
3,তিনি,O
3,তৃতীয়,O
3,সহস্রাব্দে,O
3,গ্র্যান্ড,B-CW
3,ওলে,I-CW
3,অপ্রি,I-CW
3,এ,O
3,অন্তর্ভুক্ত,O
3,হওয়া,O
3,প্রথম,O
3,ব্যক্তি,O
3,হয়েছিলেন।,O
4,প্রায়,O
4,"১৮,০০০",O
4,এর,O
4,উচ্চতর,O
4,অনুপাত,O
4,দোআঁশ,B-PROD
4,মাটিতে,O
4,পরিমাপ,O
4,করা,O
4,হয়েছিল।,O
5,"ক্যাবলে,",O
5,সাবচ্যানেলটি,O
5,এক্সফিনিটি,B-CORP
5,চ্যানেল,O
5,৩,O
5,এ,O
5,পাওয়া,O
5,যায়।,O
6,বিশ,O
6,বছরেরও,O
6,বেশি,O
6,সময়,O
6,ধরে,O
6,"রচিত,",O
6,কবিতাটি,O
6,লেখা,O
6,হয়েছে,O
6,তেরজা,B-CW
6,রিমা,I-CW
6,।,O
7,১৫০৫০,O
7,-এর,O
7,দশকের,O
7,মাঝামাঝি,O
7,সময়ে,O
7,পার্টি,O
7,প্রতিষ্ঠার,O
7,সময়,O
7,ক্লার্ক,O
7,হয়ে,O
7,গেল,O
7,রিপাবলিকান,B-GRP
7,পার্টি,I-GRP
7,।,O
8,চলচ্চিত্রটির,O
8,হামসালেখা,B-PER
8,দ্বারা,O
8,সংগীত,O
8,স্কোর,O
8,ছিল।,O
9,রন,B-PER
9,ম্যাকগোভনি,I-PER
9,-,O
9,"বেস,",O
9,ব্যাকিং,O
9,ভোকাল,O
10,পরবর্তীতে,O
10,তিনি,O
10,এফসি,B-GRP
10,হ্যালিফ্যাক্স,I-GRP
10,টাউন,I-GRP
10,এ,O
10,বিচার,O
10,শুরু,O
10,করেন,O
10,কিন্তু,O
10,চুক্তি,O
10,করতে,O
10,ব্যর্থ,O
10,হন।,O
11,হারিকেনের,O
11,সাথে,O
11,যুক্ত,O
11,সর্বোচ্চ,O
11,বৃষ্টিপাত,O
11,ইয়র্ক,B-LOC
11,এর,O
11,কাছাকাছি,O
11,ছিল।,O
12,ল্যাসি,B-CW
12,বাসায়,I-CW
12,আসুন,I-CW
12,(কুকুর,O
12,কোলি),O
12,(রডি,O
12,ম্যাকডোয়াল),O
13,প্রতিযোগিতাটি,O
13,চায়না,B-CORP
13,সেন্ট্রাল,I-CORP
13,টেলিভিশন,I-CORP
13,এবং,O
13,অন্যান্য,O
13,কয়েকটি,O
13,আন্তর্জাতিক,O
13,চ্যানেলে,O
13,সম্প্রচারিত,O
13,হয়েছিল।,O
14,স্থাপনাটি,O
14,হোটেল,O
14,হিসেবেও,O
14,কাজ,O
14,করে,O
14,যেখানে,O
14,ভবনের,O
14,পিছনের,O
14,দেয়ালের,O
14,বিপরীতে,O
14,দুটি,O
14,লম্বা,O
14,টেবিল,O
14,এবং,O
14,নীচের,O
14,জায়গাটি,O
14,নিকেল,B-PROD
14,এর,O
14,জন্য,O
14,ভাড়া,O
14,দেওয়া,O
14,হয়েছিল।,O
15,সাম্প্রতিক,O
15,দশকগুলিতে,O
15,একটি,O
15,ছোট,O
15,স্বাধীন,O
15,সুবিধার,O
15,দোকান,O
15,এবং,O
15,একটি,O
15,ক্রিসলার,B-CORP
15,ডিলারশিপ,O
15,"ছিল,",O
15,যার,O
15,কোনটিই,O
15,আজ,O
15,নেই।,O
16,তার,O
16,স্থলাভিষিক্ত,O
16,হন,O
16,তার,O
16,পুত্র,O
16,সাইপ্রাসের,B-PER
16,দ্বিতীয়,I-PER
16,পিটার,I-PER
16,।,O
17,ব্লুম,O
17,যখন,O
17,বিজয়ী,O
17,হয়েছিল,O
17,তখন,O
17,মস্কো,B-LOC
17,এ,O
17,অপারেশনের,O
17,জন্য,O
17,নির্মূল,O
17,দল,O
17,প্রস্তুত,O
17,"করেছিল,",O
17,যা,O
17,শেষ,O
17,পর্যন্ত,O
17,ঘটেনি।,O
18,এটি,O
18,একটি,O
18,মোবাইল,B-CW
18,খেলা,I-CW
18,এবং,O
18,পণ্যদ্রব্য,O
18,পেয়েছে।,O
19,বাক্যটি,O
19,সাধারণত,O
19,সোরেন,B-PER
19,কিয়ের্কেগার্ড,I-PER
19,কে,O
19,দায়ী,O
19,করা,O
19,হয়;,O
19,"যাইহোক,",O
19,তিনি,O
19,কখনই,O
19,এই,O
19,শব্দটি,O
19,ব্যবহার,O
19,"করেননি,",O
19,কারণ,O
19,তিনি,O
19,একটি,O
19,গুণগত,O
19,লিপ,O
19,উল্লেখ,O
19,করেছিলেন।,O
20,শিক্ষার,O
20,"দ্বারা,",O
20,তিনি,O
20,অসলো,B-GRP
20,বিশ্ববিদ্যালয়,I-GRP
20,থেকে,O
20,একজন,O
20,রাষ্ট্রবিজ্ঞানী।,O
21,যদিও,O
21,কিছু,O
21,ছোট,O
21,ছোট,O
21,স্যাঁতসেঁতে,O
21,প্যাচ,O
21,উপস্থিত,O
21,"ছিল,",O
21,বৃষ্টির,B-PROD
21,টায়ার,I-PROD
21,কেউ,O
21,ব্যবহার,O
21,করেনি,O
21,কিন্তু,O
21,সার্কিটের,O
21,টাইট,O
21,প্রকৃতির,O
21,কারণে,O
21,ট্রাফিক,O
21,একটি,O
21,ফ্যাক্টর,O
21,ছিল।,O
22,#,O
22,দ্য,B-CW
22,জোক,I-CW
22,ইজ,I-CW
22,নট,I-CW
22,ফানি,I-CW
22,এনিমোর,I-CW
22,(অ্যালবাম,O
22,ভার্সন),O
22,(সিঙ্গেল,O
22,এ,O
22,সাইড),O
22,-,O
22,৪:,O
22,৫৭,O
23,সিঁড়ি,B-CW
23,দিয়ে,I-CW
23,ছাদে,I-CW
23,উঠুন,I-CW
23,(লিন্ডা,O
23,লরেন্স,O
23,একক,O
23,সিলেক্ট,O
23,শো),O
24,অ্যালান,B-PER
24,ভাইনোলা,I-PER
24,-,O
24,গিটার,O
24,(এছাড়াও,O
24,আল,O
24,ভাইনোলা;,O
24,১৯৯০,O
24,-,O
24,"১৯৯৬,",O
24,"১৯৯৬,",O
24,১৯৯৮,O
24,-,O
24,"২০০৬,",O
24,"২০০৮,",O
24,২০০৯,O
24,বর্তমান),O
25,২০০২,O
25,সালে,O
25,তারা,O
25,মাইক্রোসফট,B-CORP
25,কর্পোরেশন,I-CORP
25,প্রথম,O
25,পার্টিতে,O
25,পরিণত,O
25,হয়।,O
26,মূল,O
26,প্রকাশনা,O
26,মস্কো:,O
26,ভয়েনিজদাত,B-CORP
26,(মিলিটারি,O
26,পাবলিশিং,O
26,"হাউস),",O
26,১৯৭১,O
27,কিছু,O
27,ট্র্যাক,O
27,মাইস্পেস,B-CORP
27,এর,O
27,মাধ্যমে,O
27,পাওয়া,O
27,অজানা,O
27,সঙ্গীতশিল্পীদের,O
27,দ্বারা,O
27,তৈরি,O
27,করা,O
27,হয়েছিল।,O
28,হ্যাকল,B-PROD
28,অফিসিয়াল,O
28,ডিউটি,O
28,​​এবং,O
28,অনুষ্ঠান,O
28,প্যারেডের,O
28,সময়,O
28,ক্যাপ,O
28,ব্যাজের,O
28,উপরে,O
28,পরা,O
28,হয়।,O
29,অফিসিয়াল,O
29,সুপার,B-CORP
29,রাগবি,I-CORP
29,প্রতিযোগিতা,O
29,শুধুমাত্র,O
29,ফাইনাল,O
29,সহ।,O
30,কিছু,O
30,সূত্র,O
30,"অনুসারে,",O
30,এটি,O
30,২০০৭,O
30,সালে,O
30,ডোরোথিয়াম,B-CORP
30,এ,O
30,ছিল।,O
31,ফুলটন,O
31,দ্রুত,O
31,বুঝতে,O
31,পারলেন,O
31,যে,O
31,তার,O
31,আবিষ্কার,O
31,হাপর,B-PROD
31,হিসাবে,O
31,ব্যবহার,O
31,করা,O
31,যেতে,O
31,"পারে,",O
31,এবং,O
31,এইভাবে,O
31,অসংখ্য,O
31,শিল্প,O
31,ব্যবহার,O
31,হবে।,O
32,মলটি,O
32,বেশ,O
32,কয়েকটি,O
32,অনন্য,O
32,এবং,O
32,এক,O
32,ধরণের,O
32,দোকান,O
32,এবং,O
32,"গ্যালারী,",O
32,একটি,O
32,ছয়টি,O
32,স্ক্রিন,O
32,সিনেপ্লেক্স,B-CORP
32,এন্টারটেইনমেন্ট,I-CORP
32,"মাল্টিপ্লেক্স,",O
32,একটি,O
32,ফুড,O
32,কোর্ট,O
32,এবং,O
32,বেশ,O
32,কয়েকটি,O
32,রেস্তোরাঁ।,O
33,পাবনের,O
33,চলচ্চিত্রে,O
33,অভিষেক,O
33,ঘটে,O
33,কি,B-CW
33,দাম,I-CW
33,গৌরব?,I-CW
33,।,O
34,১৮০৯,O
34,"সালে,",O
34,আলেকজান্দ্রে,B-PER
34,বালথাজার,I-PER
34,লরেন্ট,I-PER
34,গ্রিমোড,I-PER
34,দে,I-PER
34,লা,I-PER
34,রেইনিয়ার,I-PER
34,রেস্তোরাঁয়,O
34,এর,O
34,স্বাদ,O
34,জুরি,O
34,স্থাপন,O
34,করে।,O
35,ছবিতে,O
35,আইটেম,B-CW
35,নম্বর,I-CW
35,করতে,O
35,অভিনেত্রীকে,O
35,চূড়ান্ত,O
35,করতে,O
35,দলটি,O
35,যথেষ্ট,O
35,সময়,O
35,নিয়েছিল।,O
36,১৮৪৯,O
36,সালে,O
36,তিনি,O
36,লন্ডন,B-LOC
36,এর,O
36,জন্য,O
36,রওনা,O
36,"হন,",O
36,বিশ্বব্যাপী,O
36,ভ্রমণের,O
36,জন্য,O
36,অর্থ,O
36,সংগ্রহের,O
36,জন্য,O
36,তার,O
36,সংগ্রহ,O
36,বিক্রি,O
36,করার,O
36,উদ্দেশ্যে।,O
37,তিনি,O
37,প্রাথমিকভাবে,O
37,নিজের,O
37,বই,O
37,প্রকাশ,O
37,করেছিলেন,O
37,কিন্তু,O
37,এখন,O
37,পেঙ্গুইন,B-CORP
37,বুক্স,I-CORP
37,দ্বারা,O
37,প্রকাশিত।,O
38,এই,O
38,সংস্থাটি,O
38,১৯২৫,O
38,সালে,O
38,সিয়াম,B-GRP
38,সোসাইটি,I-GRP
38,এর,O
38,একটি,O
38,বিভাগে,O
38,পরিণত,O
38,হয়েছিল।,O
39,পতন,B-CW
39,"চিত্রনাট্য,",O
39,সহকারী,O
39,পরিচালক,O
40,হুইটলি,O
40,বলেছিলেন,O
40,যে,O
40,তিনি,O
40,প্রাক,O
40,-মৌসুমের,O
40,খসড়ার,O
40,জন্য,O
40,মনোনীত,O
40,হতে,O
40,চান,O
40,এবং,O
40,অন্য,O
40,ক্লাব,O
40,কর্তৃক,O
40,বাছাই,O
40,না,O
40,করা,O
40,হলে,O
40,ন্যাশনাল,B-CORP
40,ফুটবল,I-CORP
40,লীগ,I-CORP
40,এ,O
40,বিচার,O
40,চাইবে।,O
41,এই,O
41,পদ্ধতিটি,O
41,অত্যাধুনিক,O
41,"ছিল,",O
41,দ্রুত,O
41,গণচীন,B-LOC
41,এ,O
41,প্রচার,O
41,করা,O
41,হয়েছিল।,O
42,তারপর,O
42,বর,O
42,এবং,O
42,তার,O
42,পরিবার,O
42,ধানের,O
42,"উপহার,",O
42,হাঁড়িয়া,B-PROD
42,(রাইস,O
42,"বিয়ার),",O
42,এবং,O
42,পশু,O
42,সহ,O
42,কনের,O
42,বাড়িতে,O
42,যান।,O
43,১৯২৩,O
43,সালে,O
43,সুইন্ডন,B-CORP
43,ওয়ার্কস,I-CORP
43,এ,O
43,নির্মিত।,O
44,তিনি,O
44,প্রথম,O
44,লয়েডের,B-CORP
44,রেজিস্টার,I-CORP
44,১৭৯৫,O
44,সালে,O
44,হাজির,O
44,হন।,O
45,রিভিউ,O
45,অ্যাগ্রিগেটর,O
45,রটেন,B-CORP
45,টম্যাটোস,I-CORP
45,ফিল্মটি,O
45,১১১,O
45,রিভিউয়ের,O
45,উপর,O
45,ভিত্তি,O
45,করে,O
45,৮৯,O
45,%,O
45,এর,O
45,অনুমোদন,O
45,রেটিং,O
45,ধারণ,O
45,"করে,",O
45,যার,O
45,গড়,O
45,রেটিং,O
45,৭.৮,O
45,/,O
45,১০।,O
46,নিষ্ক্রিয়,O
46,"অস্ত্রশস্ত্র,",O
46,একটি,O
46,ডামি,B-PROD
46,গোল,I-PROD
46,যাতে,O
46,কোন,O
46,প্রকার,O
46,শক্তিমান,O
46,উপাদান,O
46,থাকে,O
46,না,O
47,জনসংখ্যা,O
47,সান,B-LOC
47,সেবাস্তিয়ান,I-LOC
47,এল,I-LOC
47,গ্রান্দে,I-LOC
47,",",O
47,সান,B-LOC
47,হোসে,I-LOC
47,দেল,I-LOC
47,পারাইসো,I-LOC
48,বিএমডব্লিউ,B-CORP
48,খোলা,O
49,কার্পেন্টার,O
49,একটি,O
49,সঙ্গীত,O
49,শিল্পী,O
49,হিসেবে,O
49,হলিউড,B-CORP
49,রেকর্ডস,I-CORP
49,এর,O
49,সাথে,O
49,পাঁচটি,O
49,রেকর্ড,O
49,চুক্তি,O
49,স্বাক্ষর,O
49,করেছেন।,O
50,স্টেফেন,B-PER
50,সারাজিন,I-PER
50,দৌড়ের,O
50,জন্য,O
50,তার,O
50,আসন,O
50,গ্রহণ,O
50,করেন।,O
51,এই,O
51,গোষ্ঠী,O
51,মান্যশা,B-CW
51,থেকে,O
51,পাঠ্যগুলির,O
51,জন্য,O
51,রিডিং,O
51,সংকলন,O
51,করেছে।,O
52,পরিচালক,O
52,হিসেবে,O
52,তার,O
52,শেষ,O
52,চলচ্চিত্র,O
52,ছিল,O
52,ওয়াল,B-CW
52,স্ট্রিটে,I-CW
52,ক্ল্যান্সি,I-CW
52,।,O
53,১৮৫৩,O
53,"সালে,",O
53,উইলিয়াম,B-PER
53,ব্যাকহাউস,I-PER
53,"অ্যাস্টর,",I-PER
53,জুনিয়র,I-PER
53,এর,O
53,মধ্যে,O
53,বেশ,O
53,কয়েকটি,O
53,খামার,O
53,কিনেছিলেন।,O
54,এটি,O
54,ছিল,O
54,ব্যান্ডের,O
54,একমাত্র,O
54,অ্যালবাম,O
54,এপিক,B-CORP
54,রেকর্ডস,I-CORP
54,এ,O
54,প্রকাশিত।,O
55,এটি,O
55,বিশ্বের,O
55,সবচেয়ে,O
55,বড়,O
55,কেচাপ,B-PROD
55,বোতল,O
55,বলে,O
55,দাবি,O
55,করা,O
55,হয়।,O
56,<১,O
56,তম,O
56,মিনিটে,O
56,তাকে,O
56,আলসু,B-PER
56,আব্দুল্লিনা,I-PER
56,প্রতিস্থাপন,O
56,করতে,O
56,আনা,O
56,হয়েছিল।,O
57,দুজনেই,O
57,ছিলেন,O
57,ভাউডভিল,B-CW
57,ছোট,O
57,মাপের,O
57,অভিনেতা।,O
58,এটি,O
58,২০১২,O
58,সালে,O
58,ভ্রমণ,B-CORP
58,চ্যানেল,I-CORP
58,এ,O
58,প্রচারিত,O
58,হয়েছিল।,O
59,মিনিসেরিজ,O
59,·,O
59,পুরাতন,B-CW
59,নিয়ম,I-CW
59,গল্প,O
59,·,O
59,অজানা,O
59,পর্ব,O
59,(গুলি),O
60,এটি,O
60,১৯৩৮,O
60,সালে,O
60,স্টিফান,B-PER
60,ভন,I-PER
60,ব্রুনিং,I-PER
60,দ্বারা,O
60,বর্ণনা,O
60,করা,O
60,হয়েছিল।,O
61,তিনি,O
61,এবং,O
61,তার,O
61,স্বামী,O
61,দার্শনিক,O
61,বারট্রান্ড,B-PER
61,রাসেল,I-PER
61,এর,O
61,বন্ধু,O
61,ছিলেন।,O
62,প্রতিবেদকটি,O
62,অনুসন্ধানকারী,O
62,খুঁজে,O
62,পেয়েছিলেন,O
62,যার,O
62,কাছে,O
62,এটি,O
62,সম্বোধন,O
62,করা,O
62,হয়েছিল,O
62,-,O
62,জোয়াও,B-PER
62,ডি,I-PER
62,নভোয়া,I-PER
62,-,O
62,এবং,O
62,গাছটি,O
62,কয়েক,O
62,দশক,O
62,ধরে,O
62,পোস্ট,O
62,অফিস,O
62,হিসাবে,O
62,কাজ,O
62,করে।,O
63,তার,O
63,শেষ,O
63,টেলিভিশন,O
63,উপস্থিতি,O
63,ছিল,O
63,১৯৭১,O
63,সালের,O
63,মার্কাস,B-CW
63,ওয়েলবি,I-CW
63,এর,O
63,পর্বে।,O
64,আন্দোর,O
64,স্থাপত্য,O
64,শৈলী,O
64,একটি,O
64,হাইকু,B-CW
64,প্রভাব,O
64,তৈরি,O
64,করে,O
64,"বলে,",O
64,সরলতার,O
64,সৌন্দর্যকে,O
64,উপস্থাপন,O
64,করার,O
64,জন্য,O
64,শূন্যতা,O
64,এবং,O
64,ফাঁকা,O
64,জায়গার,O
64,উপর,O
64,জোর,O
64,দেয়।,O
65,গানটির,O
65,ছয়টি,O
65,স্বতন্ত্র,O
65,আন্দোলন,B-CW
65,আছে।,O
66,রেড,B-CW
66,চিফের,I-CW
66,মুক্তিপণ,I-CW
66,যেখানে,O
66,দুইজন,O
66,লোক,O
66,দশ,O
66,বছরের,O
66,একটি,O
66,ছেলেকে,O
66,অপহরণ,O
66,করে।,O
67,১৯০৯,O
67,"সালে,",O
67,তিনি,O
67,ভার্জিনিয়া,B-GRP
67,বিশ্ববিদ্যালয়,I-GRP
67,এ,O
67,প্রধান,O
67,ফুটবল,O
67,কোচ,O
67,হিসেবে,O
67,দায়িত্ব,O
67,পালন,O
67,"করেন,",O
67,যেখানে,O
67,তিনি,O
67,-,O
67,-,O
67,১,O
67,টি,O
67,রেকর্ড,O
67,সংকলন,O
67,"করেন,",O
67,যেখানে,O
67,তার,O
67,দল,O
67,প্রতিপক্ষকে,O
67,১৫৫-১১,O
67,থেকে,O
67,পিছিয়ে,O
67,দেয়।,O
68,এটি,O
68,১৯৮৪,O
68,সালে,O
68,সারে,B-GRP
68,কাউন্টি,I-GRP
68,ক্রিকেট,I-GRP
68,ক্লাব,I-GRP
68,এর,O
68,বিরুদ্ধে,O
68,এসেছে।,O
69,এই,O
69,পর্বটি,O
69,২০১৭,O
69,সালে,O
69,ডিভিডি,B-PROD
69,এ,O
69,সম্পূর্ণ,O
69,সিরিজের,O
69,বক্স,O
69,সেট,O
69,সহ,O
69,প্রকাশিত,O
69,"হয়েছিল,",O
69,যার,O
69,৪৮,O
69,টি,O
69,ডিস্কে,O
69,১৭৬,O
69,টি,O
69,পর্ব,O
69,ছিল।,O
70,আর্সলানিয়ান,O
70,সেন্ট,B-LOC
70,জর্জ,I-LOC
70,জন্মগ্রহণ,O
70,করেছিলেন।,O
71,স্বল্পদৈর্ঘ্য,O
71,চলচ্চিত্রটি,O
71,আংশিকভাবে,O
71,একটি,O
71,কিকস্টার্টার,B-CORP
71,প্রচারণার,O
71,মাধ্যমে,O
71,অর্থায়ন,O
71,করা,O
71,হয়েছিল।,O
72,তার,O
72,ইউনিভার্সিটি,B-GRP
72,অব,I-GRP
72,সাউদার্ন,I-GRP
72,ক্যালিফোর্নিয়া,I-GRP
72,থেকে,O
72,ডিগ্রি,O
72,আছে।,O
73,কুক,O
73,এলিনর,B-PER
73,ব্রন,I-PER
73,দিয়ে,O
73,একক,O
73,টুকরো,O
73,টুকরো,O
73,এবং,O
73,একটি,O
73,স্কেচ,O
73,করেছেন।,O
74,শেষ,O
74,হওয়ার,O
74,আগে,O
74,তাকে,O
74,বিক্রি,O
74,করা,O
74,হয়েছিল,O
74,মেসেজরিজ,B-CORP
74,মেরিটাইমস,I-CORP
74,।,O
75,তিনি,O
75,ব্যাংক,B-CORP
75,অফ,I-CORP
75,সিলন,I-CORP
75,তৈরি,O
75,করতেও,O
